
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1464
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:2179           0.0.0.0:0              LISTENING       4176
  TCP    0.0.0.0:2869           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING       1096
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       11056
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       5220
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1136
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       992
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2464
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       4304
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       4652
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       5760
  TCP    0.0.0.0:49677          0.0.0.0:0              LISTENING       1100
  TCP    127.0.0.1:53           0.0.0.0:0              LISTENING       18880
  TCP    127.0.0.1:53           127.0.0.1:54957        TIME_WAIT       0
  TCP    127.0.0.1:53           127.0.0.1:56233        TIME_WAIT       0
  TCP    127.0.0.1:1883         0.0.0.0:0              LISTENING       6576
  TCP    127.0.0.1:4244         0.0.0.0:0              LISTENING       15376
  TCP    127.0.0.1:4244         127.0.0.1:50178        ESTABLISHED     15376
  TCP    127.0.0.1:4244         127.0.0.1:53131        ESTABLISHED     15376
  TCP    127.0.0.1:4244         127.0.0.1:62946        ESTABLISHED     15376
  TCP    127.0.0.1:7778         0.0.0.0:0              LISTENING       8256
  TCP    127.0.0.1:7778         127.0.0.1:58968        ESTABLISHED     8256
  TCP    127.0.0.1:49671        0.0.0.0:0              LISTENING       5196
  TCP    127.0.0.1:49672        127.0.0.1:62522        ESTABLISHED     8260
  TCP    127.0.0.1:50178        127.0.0.1:4244         ESTABLISHED     7228
  TCP    127.0.0.1:50531        127.0.0.1:50532        ESTABLISHED     8256
  TCP    127.0.0.1:50532        127.0.0.1:50531        ESTABLISHED     8256
  TCP    127.0.0.1:50533        127.0.0.1:50534        ESTABLISHED     8256
  TCP    127.0.0.1:50534        127.0.0.1:50533        ESTABLISHED     8256
  TCP    127.0.0.1:51007        0.0.0.0:0              LISTENING       15352
  TCP    127.0.0.1:51062        127.0.0.1:51063        ESTABLISHED     15376
  TCP    127.0.0.1:51063        127.0.0.1:51062        ESTABLISHED     15376
  TCP    127.0.0.1:51064        127.0.0.1:51065        ESTABLISHED     15376
  TCP    127.0.0.1:51065        127.0.0.1:51064        ESTABLISHED     15376
  TCP    127.0.0.1:51066        127.0.0.1:51067        ESTABLISHED     15376
  TCP    127.0.0.1:51067        127.0.0.1:51066        ESTABLISHED     15376
  TCP    127.0.0.1:51068        127.0.0.1:51069        ESTABLISHED     15376
  TCP    127.0.0.1:51069        127.0.0.1:51068        ESTABLISHED     15376
  TCP    127.0.0.1:51070        127.0.0.1:51071        ESTABLISHED     15376
  TCP    127.0.0.1:51071        127.0.0.1:51070        ESTABLISHED     15376
  TCP    127.0.0.1:51072        127.0.0.1:51073        ESTABLISHED     15376
  TCP    127.0.0.1:51073        127.0.0.1:51072        ESTABLISHED     15376
  TCP    127.0.0.1:51086        127.0.0.1:51087        ESTABLISHED     15376
  TCP    127.0.0.1:51087        127.0.0.1:51086        ESTABLISHED     15376
  TCP    127.0.0.1:53131        127.0.0.1:4244         ESTABLISHED     7228
  TCP    127.0.0.1:53865        127.0.0.1:53866        ESTABLISHED     18880
  TCP    127.0.0.1:53866        127.0.0.1:53865        ESTABLISHED     18880
  TCP    127.0.0.1:54956        127.0.0.1:57257        TIME_WAIT       0
  TCP    127.0.0.1:56232        127.0.0.1:57257        TIME_WAIT       0
  TCP    127.0.0.1:57257        0.0.0.0:0              LISTENING       8260
  TCP    127.0.0.1:58354        127.0.0.1:58355        ESTABLISHED     31508
  TCP    127.0.0.1:58355        127.0.0.1:58354        ESTABLISHED     31508
  TCP    127.0.0.1:58356        127.0.0.1:58357        ESTABLISHED     31508
  TCP    127.0.0.1:58357        127.0.0.1:58356        ESTABLISHED     31508
  TCP    127.0.0.1:58358        127.0.0.1:58359        ESTABLISHED     31508
  TCP    127.0.0.1:58359        127.0.0.1:58358        ESTABLISHED     31508
  TCP    127.0.0.1:58360        127.0.0.1:58361        ESTABLISHED     31508
  TCP    127.0.0.1:58361        127.0.0.1:58360        ESTABLISHED     31508
  TCP    127.0.0.1:58362        127.0.0.1:58363        ESTABLISHED     31508
  TCP    127.0.0.1:58363        127.0.0.1:58362        ESTABLISHED     31508
  TCP    127.0.0.1:58966        127.0.0.1:58967        ESTABLISHED     40588
  TCP    127.0.0.1:58967        127.0.0.1:58966        ESTABLISHED     40588
  TCP    127.0.0.1:58968        127.0.0.1:7778         ESTABLISHED     40588
  TCP    127.0.0.1:58969        127.0.0.1:58970        ESTABLISHED     40588
